"","x"
"1","s__Alistipes_finegoldii"
"2","s__Alistipes_shahii"
"3","s__Alistipes_sp_AP11"
"4","s__Alistipes_sp_HGB5"
"5","s__Bacteroidales_bacterium_ph8"
"6","s__Bacteroides_faecis"
"7","s__Bacteroides_finegoldii"
"8","s__Bifidobacterium_adolescentis"
"9","s__Dialister_invisus"
"10","s__Eubacterium_siraeum"
"11","s__Odoribacter_laneus"
"12","s__Odoribacter_splanchnicus"
"13","s__Parabacteroides_merdae"
"14","s__Phascolarctobacterium_succinatutens"
"15","s__Sutterella_wadsworthensis"
